2026-09-06T11:22:19.6662661+08:00 pid=67744 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:22:23.0774672+08:00 pid=67744 tid=12 left-down x=1665 y=747 wordForeground=False
2026-09-06T11:22:37.0719981+08:00 pid=67744 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:22:40.6895518+08:00 pid=67744 tid=12 left-down x=1665 y=747 wordForeground=False
2026-09-06T11:22:54.6332333+08:00 pid=67744 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:23:11.2098660+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T11:24:09.1703270+08:00 pid=67744 tid=12 left-down x=809 y=1245 wordForeground=True
2026-09-06T11:24:16.0119995+08:00 pid=67744 tid=12 left-down x=199 y=1498 wordForeground=False
2026-09-06T11:24:16.7936605+08:00 pid=67744 tid=12 left-down x=206 y=1485 wordForeground=False
2026-09-06T11:24:18.7768745+08:00 pid=67744 tid=12 left-down x=2049 y=1405 wordForeground=False
2026-09-06T11:30:08.3538697+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T11:30:56.2867971+08:00 pid=67744 tid=12 left-down x=1155 y=1337 wordForeground=True
2026-09-06T11:30:56.9161974+08:00 pid=67744 tid=12 left-down x=1155 y=1337 wordForeground=True
2026-09-06T11:41:59.9391151+08:00 pid=67744 tid=12 left-down x=806 y=1112 wordForeground=True
2026-09-06T11:42:44.0782763+08:00 pid=67744 tid=12 left-down x=239 y=1463 wordForeground=False
2026-09-06T11:42:47.8970352+08:00 pid=67744 tid=12 left-down x=1500 y=1569 wordForeground=False
2026-09-06T11:42:49.2750087+08:00 pid=67744 tid=12 left-down x=661 y=1211 wordForeground=True
2026-09-06T11:42:51.4251035+08:00 pid=67744 tid=12 left-down x=1925 y=1462 wordForeground=False
2026-09-06T11:42:57.3041924+08:00 pid=67744 tid=12 left-down x=1927 y=477 wordForeground=False
2026-09-06T11:43:13.1004960+08:00 pid=67744 tid=12 left-down x=2392 y=184 wordForeground=False
2026-09-06T11:43:15.9468169+08:00 pid=67744 tid=12 left-down x=145 y=94 wordForeground=False
2026-09-06T11:43:19.6164764+08:00 pid=67744 tid=12 left-down x=343 y=307 wordForeground=False
2026-09-06T11:43:22.5027694+08:00 pid=67744 tid=12 left-down x=1441 y=2145 wordForeground=False
2026-09-06T11:43:24.8562237+08:00 pid=67744 tid=12 left-down x=1057 y=2123 wordForeground=False
2026-09-06T11:43:26.0449902+08:00 pid=67744 tid=12 left-down x=1355 y=2138 wordForeground=False
2026-09-06T11:43:40.7791177+08:00 pid=67744 tid=12 left-down x=1076 y=1158 wordForeground=False
2026-09-06T11:43:49.0198785+08:00 pid=67744 tid=12 left-down x=1360 y=2079 wordForeground=False
2026-09-06T11:44:01.5349960+08:00 pid=67744 tid=12 left-down x=1353 y=2049 wordForeground=False
2026-09-06T11:44:03.9535666+08:00 pid=67744 tid=12 left-down x=1902 y=1224 wordForeground=True
2026-09-06T11:44:05.5561142+08:00 pid=67744 tid=12 left-down x=1620 y=1535 wordForeground=True
2026-09-06T11:44:07.6466720+08:00 pid=67744 tid=12 left-down x=880 y=1260 wordForeground=True
2026-09-06T11:48:43.4503747+08:00 pid=67744 tid=12 left-down x=1618 y=1245 wordForeground=True
2026-09-06T11:48:45.5551373+08:00 pid=67744 tid=12 left-down x=788 y=1222 wordForeground=True
2026-09-06T11:48:50.2730393+08:00 pid=67744 tid=12 left-down x=1329 y=1606 wordForeground=True
2026-09-06T11:48:55.1313112+08:00 pid=67744 tid=12 left-down x=780 y=1237 wordForeground=True
2026-09-06T11:48:59.1688254+08:00 pid=67744 tid=12 left-down x=1347 y=1604 wordForeground=False
2026-09-06T11:53:50.5464150+08:00 pid=67744 tid=12 left-down x=1083 y=2146 wordForeground=True
2026-09-06T11:54:07.0338164+08:00 pid=67744 tid=12 left-down x=1984 y=1086 wordForeground=False
2026-09-06T11:56:53.9064972+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T11:57:01.6329302+08:00 pid=67744 tid=12 left-down x=1838 y=818 wordForeground=True
2026-09-06T12:09:32.2259803+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:10:06.6074788+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T12:10:48.7780411+08:00 pid=67744 tid=12 left-down x=1151 y=1515 wordForeground=True
2026-09-06T12:10:49.2940506+08:00 pid=67744 tid=12 left-down x=1151 y=1515 wordForeground=True
2026-09-06T12:12:07.3244122+08:00 pid=67744 tid=12 left-down x=1838 y=774 wordForeground=True
2026-09-06T12:12:58.6993088+08:00 pid=67744 tid=12 left-down x=1170 y=1320 wordForeground=True
2026-09-06T12:12:59.2461369+08:00 pid=67744 tid=12 left-down x=1170 y=1320 wordForeground=True
2026-09-06T12:16:38.1626173+08:00 pid=67744 tid=12 left-down x=801 y=814 wordForeground=True
2026-09-06T12:16:39.9405635+08:00 pid=67744 tid=12 left-down x=1006 y=849 wordForeground=False
2026-09-06T12:19:29.5801074+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:19:37.5009344+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T12:30:32.7906271+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:36:36.6242992+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:38:56.1281503+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:40:48.5876869+08:00 pid=67744 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T12:41:32.4907492+08:00 pid=67744 tid=12 left-down x=1183 y=1627 wordForeground=True
2026-09-06T12:41:33.1515587+08:00 pid=67744 tid=12 left-down x=1183 y=1627 wordForeground=True
2026-09-06T12:42:48.5693014+08:00 pid=67744 tid=12 left-down x=1838 y=732 wordForeground=True
2026-09-06T12:44:29.1831271+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T12:51:11.5383220+08:00 pid=67744 tid=12 left-down x=1302 y=747 wordForeground=False
2026-09-06T12:52:21.9308106+08:00 pid=67744 tid=12 left-down x=2058 y=1197 wordForeground=True
2026-09-06T12:59:16.9225064+08:00 pid=67744 tid=12 left-down x=1302 y=747 wordForeground=False
2026-09-06T13:00:33.6723501+08:00 pid=67744 tid=12 left-down x=2024 y=1163 wordForeground=True
