2026-09-06T14:13:46.5366949+08:00 pid=74892 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:13:47.0862742+08:00 pid=74892 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:16:20.1266340+08:00 pid=74892 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:16:23.5215253+08:00 pid=74892 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:17:35.2215321+08:00 pid=74892 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:17:38.7635999+08:00 pid=74892 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:18:31.2844200+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:20:28.3113614+08:00 pid=74892 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:21:50.9433740+08:00 pid=74892 tid=12 left-down x=1172 y=1568 wordForeground=True
2026-09-06T14:21:51.4676927+08:00 pid=74892 tid=12 left-down x=1172 y=1568 wordForeground=True
2026-09-06T14:22:32.7819604+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:22:35.2717258+08:00 pid=74892 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T14:22:37.9212019+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:30:54.3751711+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:30:56.7380479+08:00 pid=74892 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T14:30:59.0979747+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:32:40.1162861+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:40.4592354+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:37:43.1163765+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:45.5972143+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:39:06.3467303+08:00 pid=74892 tid=12 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:39:14.8700440+08:00 pid=74892 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:46:02.0953254+08:00 pid=74892 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:46:10.8655986+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:47:27.5741708+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:47:30.2209309+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:48:35.4643828+08:00 pid=74892 tid=12 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:48:43.8720067+08:00 pid=74892 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:49:32.1513096+08:00 pid=74892 tid=12 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:49:32.7876971+08:00 pid=74892 tid=12 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:50:12.2746539+08:00 pid=74892 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:53:20.7986828+08:00 pid=74892 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:53:29.6361488+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:53:32.4636600+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:53:34.8715017+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:55:35.2118576+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:59:39.6299160+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:07:00.9988052+08:00 pid=74892 tid=12 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:07:01.4819252+08:00 pid=74892 tid=12 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:07:01.4829249+08:00 pid=74892 tid=12 double-click elapsedMs=483.341 withinX=True withinY=True nativeOleTarget=False suppressSecondDown=False dispatchCallback=True
2026-09-06T15:07:01.5771565+08:00 pid=74892 tid=10 callback-begin interceptedNativeOle=False x=1140 y=1245
2026-09-06T15:07:01.5791573+08:00 pid=74892 tid=10 addin-callback-received interceptedNativeOle=False x=1140 y=1245
2026-09-06T15:07:01.5801565+08:00 pid=74892 tid=10 callback-end
2026-09-06T15:07:01.5851570+08:00 pid=74892 tid=1 addin-coordinate-selection formulaId=<null> objectMode=<null>
2026-09-06T15:09:34.9203355+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:21:10.1379912+08:00 pid=74892 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:21:34.5163415+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:21:37.3708261+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:21:39.7921009+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:22:31.9243381+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:26:36.1736501+08:00 pid=74892 tid=12 left-down x=1140 y=1088 wordForeground=True
2026-09-06T15:26:36.7932963+08:00 pid=74892 tid=12 left-down x=1140 y=1088 wordForeground=True
2026-09-06T15:27:08.5313379+08:00 pid=74892 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:27:51.0544337+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:27:54.0057969+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:27:56.2749331+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:29:56.5702085+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:30:42.7357419+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:31:47.9582527+08:00 pid=74892 tid=12 left-down x=698 y=1234 wordForeground=False
