2026-09-06T17:34:22.9364031+08:00 pid=85192 [perf] ConfigureNumbered.native-post-table-spacing: +133ms (1263ms)
2026-09-06T17:34:23.0793920+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +143ms (1406ms)
2026-09-06T17:34:23.3094465+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +4ms (4ms)
2026-09-06T17:34:23.3421545+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +34ms (38ms)
2026-09-06T17:34:23.5238202+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +181ms (219ms)
2026-09-06T17:34:23.5656218+08:00 pid=85192 [perf] ConfigureNumbered.native-ensure-table: +42ms (261ms)
2026-09-06T17:34:23.5676245+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-table-formula: +2ms (263ms)
2026-09-06T17:34:23.5676245+08:00 pid=85192 [perf] ConfigureNumbered.native-height-repair: +0ms (263ms)
2026-09-06T17:34:23.7754789+08:00 pid=85192 [perf] ConfigureNumbered.native-geometry: +208ms (471ms)
2026-09-06T17:34:23.7764756+08:00 pid=85192 [perf] ConfigureNumbered.native-1x3-table: +1ms (472ms)
2026-09-06T17:34:23.7774776+08:00 pid=85192 [perf] ConfigureNumbered.direct-number-plan: +1ms (473ms)
2026-09-06T17:34:24.3256775+08:00 pid=85192 [perf] ConfigureNumbered.direct-visible-seq: +548ms (1021ms)
2026-09-06T17:34:24.4897501+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +165ms (1186ms)
2026-09-06T17:34:24.4907500+08:00 pid=85192 [perf] Reconcile.configure-omml-formulas: +7652ms (11518ms)
2026-09-06T17:34:24.4917520+08:00 pid=85192 [perf] Reconcile.number-format-preference: +1ms (11519ms)
2026-09-06T17:34:24.5022725+08:00 pid=85192 [perf] Reconcile.remove-orphan-artifacts: +11ms (11530ms)
2026-09-06T17:34:24.5082725+08:00 pid=85192 [perf] Reconcile.rebuild-number-bookmarks-1: +6ms (11536ms)
2026-09-06T17:34:25.0138212+08:00 pid=85192 [perf] Reconcile.update-native-sequences: +506ms (12042ms)
2026-09-06T17:34:25.0158222+08:00 pid=85192 [perf] Reconcile.rebuild-number-bookmarks-2: +2ms (12044ms)
2026-09-06T17:34:25.0418195+08:00 pid=85192 [perf] Reconcile.update-main-story-fields: +25ms (12069ms)
2026-09-06T17:34:25.0418195+08:00 pid=85192 [perf] Reconcile.update-inline-number-fields: +1ms (12070ms)
2026-09-06T17:34:28.2653644+08:00 pid=85192 [perf] Reconcile.update-omml-number-fields: +3223ms (15293ms)
