2026-09-06T09:52:42.2194746+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:02:12.9563281+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:02:28.0774736+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:03:32.6617420+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:07:32.2739716+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:07:46.6510367+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:08:01.0575312+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:17:39.6838493+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:17:54.2341171+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:18:08.7765421+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:20:29.6039756+08:00 pid=27256 tid=12 left-down x=784 y=903 wordForeground=True
2026-09-06T10:21:09.3014938+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:21:23.9661556+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:21:38.6767943+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:24:30.9953046+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:24:45.7763913+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:25:00.8346070+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:29:30.6598475+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:29:45.3905945+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:30:00.2065299+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
