2026-09-06T13:22:16.4722362+08:00 pid=69024 tid=11 left-down x=1079 y=2134 wordForeground=True
2026-09-06T13:23:30.9239148+08:00 pid=69024 tid=11 left-down x=912 y=1198 wordForeground=True
2026-09-06T13:23:56.2604338+08:00 pid=69024 tid=11 left-down x=300 y=15 wordForeground=False
2026-09-06T13:25:29.1064418+08:00 pid=69024 tid=11 left-down x=832 y=1274 wordForeground=True
2026-09-06T13:28:26.0530125+08:00 pid=69024 tid=11 left-down x=663 y=1262 wordForeground=True
2026-09-06T13:28:52.7957325+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:28:56.1796665+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:29:58.7025727+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:30:02.1714024+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:31:56.5552845+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T13:33:21.2530476+08:00 pid=69024 tid=11 left-down x=895 y=904 wordForeground=True
2026-09-06T13:34:33.4996701+08:00 pid=69024 tid=11 left-down x=1838 y=860 wordForeground=True
2026-09-06T13:35:08.5983513+08:00 pid=69024 tid=11 left-down x=766 y=1265 wordForeground=True
2026-09-06T13:40:46.0504549+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:40:49.5377796+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:41:57.9541593+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:42:01.2620667+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:43:10.3946184+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T13:51:23.1116636+08:00 pid=69024 tid=11 left-down x=1172 y=1508 wordForeground=True
2026-09-06T13:51:23.6839855+08:00 pid=69024 tid=11 left-down x=1172 y=1508 wordForeground=True
2026-09-06T13:52:14.4218241+08:00 pid=69024 tid=11 left-down x=1172 y=1088 wordForeground=True
2026-09-06T13:52:15.0652567+08:00 pid=69024 tid=11 left-down x=1172 y=1088 wordForeground=True
2026-09-06T13:56:10.5687274+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:56:13.9422725+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:57:06.2605285+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:57:09.7367828+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:58:06.0789689+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:03:32.7893906+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:03:36.0638723+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:04:16.5999296+08:00 pid=69024 tid=11 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:04:20.0679192+08:00 pid=69024 tid=11 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:05:24.7610393+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:07:17.0145053+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:08:16.6601782+08:00 pid=69024 tid=11 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:08:17.2795000+08:00 pid=69024 tid=11 left-down x=1141 y=1508 wordForeground=True
