2026-09-06T21:23:16.0328675+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-host: +1ms (3167ms)
2026-09-06T21:23:16.1207980+08:00 pid=77768 [perf] ConvertedOmmlBatch.repair-identity: +87ms (3254ms)
2026-09-06T21:23:16.2225846+08:00 pid=77768 [perf] ConvertedOmmlBatch.locate-target: +102ms (3356ms)
2026-09-06T21:23:16.2295845+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +7ms (3363ms)
2026-09-06T21:23:16.2585822+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +29ms (3392ms)
2026-09-06T21:23:16.3477639+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +90ms (3482ms)
2026-09-06T21:23:16.3783189+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +29ms (3511ms)
2026-09-06T21:23:16.3788367+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +2ms (3513ms)
2026-09-06T21:23:16.3798346+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (3513ms)
2026-09-06T21:23:16.4882549+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-geometry: +109ms (3622ms)
2026-09-06T21:23:16.4892528+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (3622ms)
2026-09-06T21:23:16.4892528+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +1ms (3623ms)
2026-09-06T21:23:16.7486835+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +259ms (3882ms)
2026-09-06T21:23:16.8196786+08:00 pid=77768 [perf] remove-owned-post-table-anchor generated=271:272 original=272:278
2026-09-06T21:23:16.8326445+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +84ms (3966ms)
2026-09-06T21:23:16.8822756+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +50ms (4016ms)
2026-09-06T21:23:16.8842758+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-host: +1ms (4017ms)
2026-09-06T21:23:16.9705239+08:00 pid=77768 [perf] ConvertedOmmlBatch.repair-identity: +87ms (4104ms)
2026-09-06T21:23:17.1127427+08:00 pid=77768 [perf] ConvertedOmmlBatch.locate-target: +143ms (4247ms)
2026-09-06T21:23:17.1207403+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +7ms (4254ms)
2026-09-06T21:23:17.1499611+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +29ms (4283ms)
2026-09-06T21:23:17.2359611+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +87ms (4370ms)
2026-09-06T21:23:17.2659582+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +30ms (4400ms)
2026-09-06T21:23:17.2712636+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +5ms (4405ms)
2026-09-06T21:23:17.2712636+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (4405ms)
2026-09-06T21:23:17.3746411+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-geometry: +103ms (4508ms)
2026-09-06T21:23:17.3746411+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (4508ms)
2026-09-06T21:23:17.3746411+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +0ms (4508ms)
2026-09-06T21:23:17.6332993+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +258ms (4766ms)
2026-09-06T21:23:17.6895291+08:00 pid=77768 [perf] remove-owned-post-table-anchor generated=217:218 original=218:219
2026-09-06T21:23:17.6975267+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +65ms (4831ms)
2026-09-06T21:23:17.7505012+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +53ms (4884ms)
2026-09-06T21:23:17.7514983+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-host: +1ms (4885ms)
2026-09-06T21:23:17.8752047+08:00 pid=77768 [perf] ConvertedOmmlBatch.repair-identity: +124ms (5009ms)
2026-09-06T21:23:17.8772047+08:00 pid=77768 [perf] ConversionFinalize.caption-inventory: +0ms (0ms)
2026-09-06T21:23:17.8782033+08:00 pid=77768 [perf] number-format-batch.plan: +0ms (0ms)
2026-09-06T21:23:17.8822022+08:00 pid=77768 [perf] number-format-batch.direct-table-targets: +4ms (4ms)
2026-09-06T21:23:17.8852023+08:00 pid=77768 [perf] number-format-batch.native-hash-inventory: +3ms (7ms)
2026-09-06T21:23:17.8852023+08:00 pid=77768 [perf] number-format-batch.native-breakdown lookup=0ms code=0ms update=0ms prefix=0ms bookmark=0ms
2026-09-06T21:23:17.8852023+08:00 pid=77768 [perf] number-format-batch.legacy-targets: +0ms (7ms)
2026-09-06T21:23:17.8852023+08:00 pid=77768 [perf] number-format-batch.native-hash-targets: +0ms (7ms)
2026-09-06T21:23:17.8862034+08:00 pid=77768 [perf] number-format-batch.visible-references: +1ms (8ms)
2026-09-06T21:23:17.9420270+08:00 pid=77768 [perf] number-format-batch.extra-references: +56ms (64ms)
2026-09-06T21:23:17.9430273+08:00 pid=77768 [perf] ConversionFinalize.field-batch: +66ms (66ms)
2026-09-06T21:23:18.0012420+08:00 pid=77768 [perf] ConversionFinalize.healthy-refresh: +58ms (124ms)
2026-09-06T21:24:38.6569790+08:00 pid=77768 [perf] number-format-batch.plan: +130ms (130ms)
2026-09-06T21:24:39.1778332+08:00 pid=77768 [perf] number-format-batch.direct-table-targets: +521ms (651ms)
2026-09-06T21:24:39.1783485+08:00 pid=77768 [perf] number-format-batch.native-hash-inventory: +0ms (651ms)
2026-09-06T21:24:39.1783485+08:00 pid=77768 [perf] number-format-batch.native-breakdown lookup=0ms code=0ms update=0ms prefix=0ms bookmark=0ms
2026-09-06T21:24:39.1783485+08:00 pid=77768 [perf] number-format-batch.legacy-targets: +1ms (652ms)
2026-09-06T21:24:39.1783485+08:00 pid=77768 [perf] number-format-batch.native-hash-targets: +0ms (652ms)
2026-09-06T21:24:39.1793469+08:00 pid=77768 [perf] number-format-batch.visible-references: +0ms (652ms)
2026-09-06T21:24:39.2029818+08:00 pid=77768 [perf] number-format-batch.extra-references: +24ms (676ms)
2026-09-06T21:30:16.0289576+08:00 pid=77768 [perf] update-numbers.health-fail reason=bookmark-id-set-mismatch visible=0/0[] caption=0/0[] number=1/1[a02a77cf-6159-4b4b-b885-04d56a1c4aa3]
2026-09-06T21:30:29.1135385+08:00 pid=77768 [perf] update-numbers.health-fail reason=bookmark-id-set-mismatch visible=0/0[] caption=0/0[] number=1/1[a02a77cf-6159-4b4b-b885-04d56a1c4aa3]
2026-09-06T21:30:47.2379705+08:00 pid=77768 [perf] ConfigureNumbered.tab-paragraph: +20ms (20ms)
2026-09-06T21:30:47.2519078+08:00 pid=77768 [perf] NativeCaption.prepare-paragraph: +10ms (10ms)
2026-09-06T21:30:47.2539066+08:00 pid=77768 [perf] NativeCaption.add-seq: +2ms (12ms)
2026-09-06T21:30:47.2569070+08:00 pid=77768 [perf] NativeCaption.update-seq: +3ms (15ms)
2026-09-06T21:30:47.2599065+08:00 pid=77768 [perf] NativeCaption.bookmarks: +3ms (18ms)
2026-09-06T21:30:47.2945150+08:00 pid=77768 [perf] NativeCaption.style-frame: +35ms (53ms)
2026-09-06T21:30:47.2945150+08:00 pid=77768 [perf] ConfigureNumbered.native-caption: +57ms (77ms)
2026-09-06T21:30:47.3055146+08:00 pid=77768 [perf] VisibleRef.scaffold: +7ms (7ms)
2026-09-06T21:30:47.3125150+08:00 pid=77768 [perf] VisibleRef.add-ref: +8ms (15ms)
2026-09-06T21:30:47.3245156+08:00 pid=77768 [perf] VisibleRef.update-ref: +12ms (27ms)
2026-09-06T21:30:47.3265156+08:00 pid=77768 [perf] VisibleRef.bookmark-format: +2ms (29ms)
2026-09-06T21:30:47.3335156+08:00 pid=77768 [perf] VisibleRef.vertical-align: +7ms (36ms)
2026-09-06T21:30:47.3335156+08:00 pid=77768 [perf] ConfigureNumbered.visible-ref: +39ms (116ms)
2026-09-06T21:30:47.3355170+08:00 pid=77768 [perf] ConfigureNumbered.ole-baseline: +2ms (118ms)
2026-09-06T21:30:47.3545154+08:00 pid=77768 [perf] ConfigureNumbered.tab-paragraph: +14ms (14ms)
2026-09-06T21:30:47.3615148+08:00 pid=77768 [perf] NativeCaption.prepare-paragraph: +6ms (6ms)
2026-09-06T21:30:47.3645161+08:00 pid=77768 [perf] NativeCaption.add-seq: +3ms (9ms)
2026-09-06T21:30:47.3675157+08:00 pid=77768 [perf] NativeCaption.update-seq: +3ms (12ms)
2026-09-06T21:30:47.3695145+08:00 pid=77768 [perf] NativeCaption.bookmarks: +2ms (14ms)
2026-09-06T21:30:47.3965150+08:00 pid=77768 [perf] NativeCaption.style-frame: +27ms (41ms)
2026-09-06T21:30:47.3965150+08:00 pid=77768 [perf] ConfigureNumbered.native-caption: +43ms (57ms)
2026-09-06T21:30:47.4025149+08:00 pid=77768 [perf] VisibleRef.scaffold: +5ms (5ms)
2026-09-06T21:30:47.4075149+08:00 pid=77768 [perf] VisibleRef.add-ref: +5ms (10ms)
2026-09-06T21:30:47.4185161+08:00 pid=77768 [perf] VisibleRef.update-ref: +11ms (21ms)
2026-09-06T21:30:47.4205156+08:00 pid=77768 [perf] VisibleRef.bookmark-format: +2ms (23ms)
2026-09-06T21:30:47.4255148+08:00 pid=77768 [perf] VisibleRef.vertical-align: +5ms (28ms)
2026-09-06T21:30:47.4265155+08:00 pid=77768 [perf] ConfigureNumbered.visible-ref: +29ms (86ms)
2026-09-06T21:30:47.4285160+08:00 pid=77768 [perf] ConfigureNumbered.ole-baseline: +2ms (88ms)
2026-09-06T21:30:47.4455156+08:00 pid=77768 [perf] ConfigureNumbered.tab-paragraph: +13ms (13ms)
2026-09-06T21:30:47.4525147+08:00 pid=77768 [perf] NativeCaption.prepare-paragraph: +6ms (6ms)
2026-09-06T21:30:47.4545172+08:00 pid=77768 [perf] NativeCaption.add-seq: +2ms (8ms)
2026-09-06T21:30:47.4565177+08:00 pid=77768 [perf] NativeCaption.update-seq: +2ms (10ms)
2026-09-06T21:30:47.4585172+08:00 pid=77768 [perf] NativeCaption.bookmarks: +2ms (12ms)
2026-09-06T21:30:47.4835177+08:00 pid=77768 [perf] NativeCaption.style-frame: +25ms (37ms)
2026-09-06T21:30:47.4835177+08:00 pid=77768 [perf] ConfigureNumbered.native-caption: +39ms (52ms)
2026-09-06T21:30:47.4895187+08:00 pid=77768 [perf] VisibleRef.scaffold: +5ms (5ms)
2026-09-06T21:30:47.4955146+08:00 pid=77768 [perf] VisibleRef.add-ref: +6ms (11ms)
2026-09-06T21:30:47.5045184+08:00 pid=77768 [perf] VisibleRef.update-ref: +9ms (20ms)
2026-09-06T21:30:47.5055153+08:00 pid=77768 [perf] VisibleRef.bookmark-format: +1ms (21ms)
2026-09-06T21:30:47.5115152+08:00 pid=77768 [perf] VisibleRef.vertical-align: +6ms (27ms)
2026-09-06T21:30:47.5115152+08:00 pid=77768 [perf] ConfigureNumbered.visible-ref: +28ms (80ms)
2026-09-06T21:30:47.5135187+08:00 pid=77768 [perf] ConfigureNumbered.ole-baseline: +2ms (82ms)
2026-09-06T21:30:47.5333313+08:00 pid=77768 [perf] ConfigureNumbered.tab-paragraph: +16ms (16ms)
2026-09-06T21:30:47.5423444+08:00 pid=77768 [perf] NativeCaption.prepare-paragraph: +8ms (8ms)
2026-09-06T21:30:47.5443445+08:00 pid=77768 [perf] NativeCaption.add-seq: +2ms (10ms)
2026-09-06T21:30:47.5473413+08:00 pid=77768 [perf] NativeCaption.update-seq: +3ms (13ms)
2026-09-06T21:30:47.5493422+08:00 pid=77768 [perf] NativeCaption.bookmarks: +2ms (15ms)
2026-09-06T21:30:47.5793439+08:00 pid=77768 [perf] NativeCaption.style-frame: +30ms (45ms)
2026-09-06T21:30:47.5793439+08:00 pid=77768 [perf] ConfigureNumbered.native-caption: +46ms (62ms)
2026-09-06T21:30:47.5853414+08:00 pid=77768 [perf] VisibleRef.scaffold: +5ms (5ms)
2026-09-06T21:30:47.5913417+08:00 pid=77768 [perf] VisibleRef.add-ref: +6ms (11ms)
2026-09-06T21:30:47.6033442+08:00 pid=77768 [perf] VisibleRef.update-ref: +12ms (23ms)
2026-09-06T21:30:47.6043422+08:00 pid=77768 [perf] VisibleRef.bookmark-format: +1ms (24ms)
2026-09-06T21:30:47.6103424+08:00 pid=77768 [perf] VisibleRef.vertical-align: +6ms (30ms)
2026-09-06T21:30:47.6113425+08:00 pid=77768 [perf] ConfigureNumbered.visible-ref: +32ms (94ms)
2026-09-06T21:30:47.6150835+08:00 pid=77768 [perf] ConfigureNumbered.ole-baseline: +4ms (98ms)
2026-09-06T21:30:47.6470849+08:00 pid=77768 [perf] ConfigureNumbered.tab-paragraph: +22ms (22ms)
2026-09-06T21:30:47.6560824+08:00 pid=77768 [perf] NativeCaption.prepare-paragraph: +8ms (8ms)
2026-09-06T21:30:47.6580832+08:00 pid=77768 [perf] NativeCaption.add-seq: +2ms (10ms)
2026-09-06T21:30:47.6620832+08:00 pid=77768 [perf] NativeCaption.update-seq: +4ms (14ms)
2026-09-06T21:30:47.6650827+08:00 pid=77768 [perf] NativeCaption.bookmarks: +4ms (18ms)
2026-09-06T21:30:47.6970856+08:00 pid=77768 [perf] NativeCaption.style-frame: +31ms (49ms)
2026-09-06T21:30:47.6970856+08:00 pid=77768 [perf] ConfigureNumbered.native-caption: +50ms (72ms)
2026-09-06T21:30:47.7030846+08:00 pid=77768 [perf] VisibleRef.scaffold: +5ms (5ms)
2026-09-06T21:30:47.7080826+08:00 pid=77768 [perf] VisibleRef.add-ref: +5ms (10ms)
2026-09-06T21:30:47.7186849+08:00 pid=77768 [perf] VisibleRef.update-ref: +10ms (20ms)
2026-09-06T21:30:47.7196856+08:00 pid=77768 [perf] VisibleRef.bookmark-format: +2ms (22ms)
