2026-09-06T17:20:53.9824414+08:00 pid=105892 [perf] ConfigureNumbered.native-post-table-spacing: +158ms (1151ms)
2026-09-06T17:20:54.1367101+08:00 pid=105892 [perf] ConfigureNumbered.native-wrap-identity: +153ms (1304ms)
2026-09-06T17:20:54.3731452+08:00 pid=105892 [perf] ConfigureNumbered.native-resolve-display: +5ms (5ms)
2026-09-06T17:20:54.4067138+08:00 pid=105892 [perf] ConfigureNumbered.native-clear-artifacts: +33ms (38ms)
2026-09-06T17:20:54.5993837+08:00 pid=105892 [perf] ConfigureNumbered.native-measure-display: +193ms (231ms)
2026-09-06T17:20:54.6413814+08:00 pid=105892 [perf] ConfigureNumbered.native-ensure-table: +42ms (273ms)
2026-09-06T17:20:54.6433813+08:00 pid=105892 [perf] ConfigureNumbered.native-resolve-table-formula: +2ms (275ms)
2026-09-06T17:20:54.6433813+08:00 pid=105892 [perf] ConfigureNumbered.native-height-repair: +0ms (275ms)
2026-09-06T17:20:54.8341146+08:00 pid=105892 [perf] ConfigureNumbered.native-geometry: +191ms (466ms)
2026-09-06T17:20:54.8351147+08:00 pid=105892 [perf] ConfigureNumbered.native-1x3-table: +1ms (467ms)
2026-09-06T17:20:54.8351147+08:00 pid=105892 [perf] ConfigureNumbered.direct-number-plan: +0ms (467ms)
2026-09-06T17:20:55.4308341+08:00 pid=105892 [perf] ConfigureNumbered.direct-visible-seq: +595ms (1062ms)
2026-09-06T17:20:55.5784618+08:00 pid=105892 [perf] ConfigureNumbered.native-wrap-identity: +148ms (1210ms)
2026-09-06T17:20:55.5794628+08:00 pid=105892 [perf] Reconcile.configure-omml-formulas: +7572ms (11406ms)
2026-09-06T17:20:55.5804619+08:00 pid=105892 [perf] Reconcile.number-format-preference: +2ms (11408ms)
2026-09-06T17:20:55.5904617+08:00 pid=105892 [perf] Reconcile.remove-orphan-artifacts: +9ms (11417ms)
2026-09-06T17:20:55.6004625+08:00 pid=105892 [perf] Reconcile.rebuild-number-bookmarks-1: +10ms (11427ms)
2026-09-06T17:20:56.0982059+08:00 pid=105892 [perf] Reconcile.update-native-sequences: +498ms (11925ms)
2026-09-06T17:20:56.1002022+08:00 pid=105892 [perf] Reconcile.rebuild-number-bookmarks-2: +2ms (11927ms)
2026-09-06T17:20:56.1198326+08:00 pid=105892 [perf] Reconcile.update-main-story-fields: +20ms (11947ms)
2026-09-06T17:20:56.1198326+08:00 pid=105892 [perf] Reconcile.update-inline-number-fields: +0ms (11947ms)
2026-09-06T17:20:59.2760593+08:00 pid=105892 [perf] Reconcile.update-omml-number-fields: +3156ms (15103ms)
2026-09-06T17:20:59.2840591+08:00 pid=105892 [perf] Reconcile.update-cross-references: +8ms (15111ms)
