2026-09-06T15:50:00.0736946+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:50:09.0550968+08:00 pid=75316 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T15:54:08.3219383+08:00 pid=75316 tid=12 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:09.1103208+08:00 pid=75316 tid=12 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:19.6239984+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:55:18.2488195+08:00 pid=75316 tid=12 left-down x=758 y=1250 wordForeground=True
2026-09-06T15:55:44.0299592+08:00 pid=75316 tid=12 left-down x=820 y=1253 wordForeground=True
2026-09-06T15:55:55.8941735+08:00 pid=75316 tid=12 left-down x=2051 y=1093 wordForeground=True
2026-09-06T15:57:03.7310851+08:00 pid=75316 tid=12 left-down x=763 y=1216 wordForeground=False
2026-09-06T15:57:06.1899098+08:00 pid=75316 tid=12 left-down x=2028 y=1110 wordForeground=False
2026-09-06T15:57:09.1346873+08:00 pid=75316 tid=12 left-down x=770 y=1090 wordForeground=True
2026-09-06T15:57:10.8714947+08:00 pid=75316 tid=12 left-down x=618 y=1046 wordForeground=False
2026-09-06T15:57:14.8356042+08:00 pid=75316 tid=12 left-down x=1892 y=402 wordForeground=False
2026-09-06T15:57:19.6733510+08:00 pid=75316 tid=12 left-down x=1965 y=1091 wordForeground=True
2026-09-06T15:57:23.3017288+08:00 pid=75316 tid=12 left-down x=717 y=1085 wordForeground=True
2026-09-06T15:57:25.5573003+08:00 pid=75316 tid=12 left-down x=620 y=1012 wordForeground=False
2026-09-06T15:57:28.2667137+08:00 pid=75316 tid=12 left-down x=1896 y=398 wordForeground=False
2026-09-06T15:57:32.9653163+08:00 pid=75316 tid=12 left-down x=1979 y=1077 wordForeground=False
2026-09-06T16:04:18.6437275+08:00 pid=75316 tid=12 left-down x=153 y=1448 wordForeground=False
2026-09-06T16:04:21.8439520+08:00 pid=75316 tid=12 left-down x=963 y=1227 wordForeground=False
2026-09-06T16:05:04.3170544+08:00 pid=75316 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T16:05:13.1925514+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:05:15.9900978+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:05:18.5467665+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:06:51.5209076+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:07:59.2390167+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T16:08:20.0501992+08:00 pid=75316 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T16:12:07.2312429+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:15:14.8534480+08:00 pid=75316 tid=12 left-down x=772 y=1266 wordForeground=True
2026-09-06T16:15:23.9681536+08:00 pid=75316 tid=12 left-down x=1844 y=1725 wordForeground=False
2026-09-06T16:18:10.6557467+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:26:32.7681042+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:26:35.6457304+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:26:37.9668867+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:27:40.1650394+08:00 pid=75316 tid=12 left-down x=713 y=1227 wordForeground=False
