2026-09-06T17:41:18.1452662+08:00 pid=87408 [perf] ConfigureNumbered.native-post-table-spacing: +139ms (1321ms)
2026-09-06T17:41:18.3078113+08:00 pid=87408 [perf] ConfigureNumbered.native-wrap-identity: +162ms (1483ms)
2026-09-06T17:41:18.5818003+08:00 pid=87408 [perf] ConfigureNumbered.native-resolve-display: +7ms (7ms)
2026-09-06T17:41:18.6202235+08:00 pid=87408 [perf] ConfigureNumbered.native-clear-artifacts: +39ms (46ms)
2026-09-06T17:41:18.8456658+08:00 pid=87408 [perf] ConfigureNumbered.native-measure-display: +225ms (271ms)
2026-09-06T17:41:18.9037481+08:00 pid=87408 [perf] ConfigureNumbered.native-ensure-table: +58ms (329ms)
2026-09-06T17:41:18.9097485+08:00 pid=87408 [perf] ConfigureNumbered.native-resolve-table-formula: +6ms (335ms)
2026-09-06T17:41:18.9097485+08:00 pid=87408 [perf] ConfigureNumbered.native-height-repair: +0ms (335ms)
2026-09-06T17:41:19.2075802+08:00 pid=87408 [perf] ConfigureNumbered.native-geometry: +298ms (633ms)
2026-09-06T17:41:19.2085789+08:00 pid=87408 [perf] ConfigureNumbered.native-1x3-table: +1ms (634ms)
2026-09-06T17:41:19.2095797+08:00 pid=87408 [perf] ConfigureNumbered.direct-number-plan: +1ms (635ms)
2026-09-06T17:41:19.8166838+08:00 pid=87408 [perf] ConfigureNumbered.direct-visible-seq: +607ms (1242ms)
2026-09-06T17:41:19.9765532+08:00 pid=87408 [perf] ConfigureNumbered.native-wrap-identity: +160ms (1402ms)
2026-09-06T17:41:19.9785523+08:00 pid=87408 [perf] Reconcile.configure-omml-formulas: +8467ms (12659ms)
2026-09-06T17:41:19.9795545+08:00 pid=87408 [perf] Reconcile.number-format-preference: +2ms (12661ms)
2026-09-06T17:41:19.9915524+08:00 pid=87408 [perf] Reconcile.remove-orphan-artifacts: +11ms (12672ms)
2026-09-06T17:41:19.9997846+08:00 pid=87408 [perf] Reconcile.rebuild-number-bookmarks-1: +8ms (12680ms)
2026-09-06T17:41:20.5557079+08:00 pid=87408 [perf] Reconcile.update-native-sequences: +556ms (13236ms)
2026-09-06T17:41:20.5587078+08:00 pid=87408 [perf] Reconcile.rebuild-number-bookmarks-2: +4ms (13240ms)
2026-09-06T17:41:20.6013732+08:00 pid=87408 [perf] Reconcile.update-main-story-fields: +42ms (13282ms)
2026-09-06T17:41:20.6013732+08:00 pid=87408 [perf] Reconcile.update-inline-number-fields: +0ms (13282ms)
2026-09-06T17:41:23.4579606+08:00 pid=87408 [perf] Reconcile.update-omml-number-fields: +2856ms (16138ms)
2026-09-06T17:41:23.4689619+08:00 pid=87408 [perf] Reconcile.update-cross-references: +11ms (16149ms)
