2026-09-06T11:21:17.5539767+08:00 pid=27764 tid=12 left-down x=2192 y=1367 wordForeground=False
2026-09-06T11:21:18.6910906+08:00 pid=27764 tid=12 left-down x=740 y=1215 wordForeground=True
2026-09-06T11:22:19.7145701+08:00 pid=27764 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:22:23.1711138+08:00 pid=27764 tid=12 left-down x=1665 y=747 wordForeground=False
2026-09-06T11:22:37.1069674+08:00 pid=27764 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:22:40.7230969+08:00 pid=27764 tid=12 left-down x=1665 y=747 wordForeground=False
2026-09-06T11:22:54.6682338+08:00 pid=27764 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:23:11.2448730+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T11:24:09.2033270+08:00 pid=27764 tid=12 left-down x=809 y=1245 wordForeground=True
2026-09-06T11:24:16.0462220+08:00 pid=27764 tid=12 left-down x=199 y=1498 wordForeground=False
2026-09-06T11:24:16.8286592+08:00 pid=27764 tid=12 left-down x=206 y=1485 wordForeground=False
2026-09-06T11:24:18.8068747+08:00 pid=27764 tid=12 left-down x=2049 y=1405 wordForeground=False
2026-09-06T11:30:08.4132554+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T11:30:56.3197968+08:00 pid=27764 tid=12 left-down x=1155 y=1337 wordForeground=True
2026-09-06T11:30:56.9705750+08:00 pid=27764 tid=12 left-down x=1155 y=1337 wordForeground=True
2026-09-06T11:41:59.9698338+08:00 pid=27764 tid=12 left-down x=806 y=1112 wordForeground=True
2026-09-06T11:42:44.1118384+08:00 pid=27764 tid=12 left-down x=239 y=1463 wordForeground=False
2026-09-06T11:42:47.9318103+08:00 pid=27764 tid=12 left-down x=1500 y=1569 wordForeground=False
2026-09-06T11:42:49.3096093+08:00 pid=27764 tid=12 left-down x=661 y=1211 wordForeground=True
2026-09-06T11:42:51.4577476+08:00 pid=27764 tid=12 left-down x=1925 y=1462 wordForeground=False
2026-09-06T11:42:57.3391923+08:00 pid=27764 tid=12 left-down x=1927 y=477 wordForeground=False
2026-09-06T11:43:13.1766559+08:00 pid=27764 tid=12 left-down x=2392 y=184 wordForeground=False
2026-09-06T11:43:15.9758175+08:00 pid=27764 tid=12 left-down x=145 y=94 wordForeground=False
2026-09-06T11:43:19.6353261+08:00 pid=27764 tid=12 left-down x=343 y=307 wordForeground=False
2026-09-06T11:43:22.5177694+08:00 pid=27764 tid=12 left-down x=1441 y=2145 wordForeground=False
2026-09-06T11:43:24.8712239+08:00 pid=27764 tid=12 left-down x=1057 y=2123 wordForeground=False
2026-09-06T11:43:26.0656246+08:00 pid=27764 tid=12 left-down x=1355 y=2138 wordForeground=False
2026-09-06T11:43:40.7935576+08:00 pid=27764 tid=12 left-down x=1076 y=1158 wordForeground=False
2026-09-06T11:43:49.0358795+08:00 pid=27764 tid=12 left-down x=1360 y=2079 wordForeground=False
2026-09-06T11:44:01.5579963+08:00 pid=27764 tid=12 left-down x=1353 y=2049 wordForeground=False
2026-09-06T11:44:03.9715662+08:00 pid=27764 tid=12 left-down x=1902 y=1224 wordForeground=True
2026-09-06T11:44:05.5701146+08:00 pid=27764 tid=12 left-down x=1620 y=1535 wordForeground=True
2026-09-06T11:44:07.6659181+08:00 pid=27764 tid=12 left-down x=880 y=1260 wordForeground=True
2026-09-06T11:48:43.4685550+08:00 pid=27764 tid=12 left-down x=1618 y=1245 wordForeground=True
2026-09-06T11:48:45.5761349+08:00 pid=27764 tid=12 left-down x=788 y=1222 wordForeground=True
2026-09-06T11:48:50.2897221+08:00 pid=27764 tid=12 left-down x=1329 y=1606 wordForeground=True
2026-09-06T11:48:55.1493110+08:00 pid=27764 tid=12 left-down x=780 y=1237 wordForeground=True
